id,video_id,text,likes,date,n_words,has_kyrgyz_letters,cyrillic_ratio,label
UgzxrcN0Lp1BZWTl9wJ4AaABAg,8W94yWJHw6A,"Камчы бийлике жетиш учун ар кучтуу саясатчылардын котуно кирип,упай топтогон.Оома эки жуздуу пидараз ,бул Таши манка.",1,1774137600,16,0,1.0,
UgxugSO-LO7ppChkAlF4AaABAg,8W94yWJHw6A,Барыле таза эмес экен тооба🇰🇬👍,0,1774137600,5,0,1.0,
UgxLNI1u0y0P0OVgmaJ4AaABAg,8W94yWJHw6A,Надира нарматова Каза болоруна аз калыптыр тантыбай кетебер,0,1771718400,8,0,1.0,
UgxOFFC2x42idn0d7wV4AaABAg,8W94yWJHw6A,"Жигиттиктин жигити оз елин тонойбу карапайым ел 6 сотык жерге жетинбей журсо ууру зоокур Матраимов олконун акчасын тоноп журду, К, Колбаев еко зоокур ууру канкор болушкан мындайларды атып салган ен туура чечим.",0,1769040000,32,0,1.0,
UgzQZ-2KMtkgepbNnn54AaABAg,8W94yWJHw6A,"Өтө кыйтыр адамдар барда көтөрүлсөң аркасын жалашат,кийин тааныбай калышат ойлошконда түбөлүккө ушундай болот деп эми кустургула баарын",0,1769040000,17,1,1.0,
UgxJbDC2-MhLma9vSHJ4AaABAg,8W94yWJHw6A,Атазов акыйкат суйлогон болуп спортсмен болуп кшоматчылык жарашпайт.,0,1766361600,8,0,1.0,
UgzYcMBTbxGyLsIyEUt4AaABAg,8W94yWJHw6A,АЛДИН. РАЙМДАЙ. БОЛУБ. АЛ. САДЫР. КАМЧИ. ЭРКЕК. БОЛСО. ЖУМУШ. БЕРИШ. КЕРЕК. ЭЛЕ,0,1766361600,12,0,1.0,
UgxkgOmR5IqD5g048-x4AaABAg,8W94yWJHw6A,БЕК. БОРБИЕВ. БИР. КОТДА,0,1766361600,4,0,1.0,
UgzDqewWyX3NVKQU7AZ4AaABAg,8W94yWJHw6A,РАЙМ. КЫРГЫЗДИН. ЭРКЕГИ. АНИН. КЫЛГАНИН. САДЫР. КАМЧИДА. КЫЛА. АЛБАЙТ,0,1766361600,9,0,1.0,
Ugz2WUkj4CW75ABrDYR4AaABAg,8W94yWJHw6A,"Чыныгы эле чон карупционерлерге тийишпейт , чон Кыргызстанды жеген карупционерлердин бири да отурган жок ,баары жургап журушот, элге калп айтып Элди алдап эле журушот",0,1766361600,24,0,1.0,
Ugwz2bTWVIoVTaBDcw94AaABAg,8W94yWJHw6A,Эмне озгорду кайра каракчы кузгундар 100 эсе тоноп жатат Мвтрайдын пайдасы коп эле элге,0,1766361600,14,0,1.0,
UgwGCEvajXR26lrxT_V4AaABAg,8W94yWJHw6A,Ташиев кучтуу болуп улутук коопсуздук камитетинин председатели болуп иштеп корупция менен курошуп атат Азамат деп коргоп колдойбуз аман болсун коргойбуз,0,1766361600,20,0,1.0,
UgzXBhAwcU-qOY1g3_54AaABAg,8W94yWJHw6A,""" Козу""-дегенинер кайра келди го.Баары чырмашып кеткен, Грузиядай тазалоо болбоду го 🥞 блин",0,1766361600,13,0,1.0,
UgyL76FlRTC8GkTg22h4AaABAg,8W94yWJHw6A,"24/7 иштейм Дейт го Нарматова,уктап туболукко кетип турбай эле калсаныз экен,жанынды жеп жалган суйлогончо",0,1766361600,14,0,1.0,
Ugy57ST-VWb4N-ysYxN4AaABAg,8W94yWJHw6A,Эруландын шылдын аралаш жылмайганын мэм кылуу керек млн.го сатылат мемкоинде😂,0,1766361600,10,0,1.0,
Ugz3AD_vFPc4oXAhIml4AaABAg,8W94yWJHw6A,"Сону эмес,сериал уланып атат го,Ш.Атазов Дубайда Раимге жолуккан окшойт го,Атазов бекеринен кармалган жок.Матиз минип журсун деп,кайра жоготуп алганы кандай.",0,1766361600,19,0,1.0,
UgySpJcrDe8WqmJYEHp4AaABAg,8W94yWJHw6A,24 саат уктабай эмне деген мыйзам жазган бул айым,0,1766361600,9,0,1.0,
UgzOpQPki8dpnvFm0KR4AaABAg,8W94yWJHw6A,Анткени эки зек максимдин сийдиги болбодубу,0,1766361600,6,0,1.0,
UgxxkCj2_-3lZN_S5fp4AaABAg,8W94yWJHw6A,Бирок ушунча элди жана бийликтегилерди колго алып койгону өтө көп депутаттан жогору турушу билинип калды ээ.ото акылдуу иш көзүн билген адам экен эле ээ.чындыктыда айталы.,0,1763769600,25,1,1.0,
Ugw36FhjrxQFVattHUR4AaABAg,8W94yWJHw6A,Ойлобогула булар кетип башкалар келсе кыйратат деп кол кучуктор келет шайлабаш керек барбагыла,0,1763769600,13,0,1.0,
Ugz1K9cz28RKlE1rCkB4AaABAg,8W94yWJHw6A,Нине себепден текбайев аклбек жапаров кустрбайсынар Нине учун. Мунада Бир сыр бар.,0,1761091200,12,0,1.0,
UgxJ9MqQ4RnmExyrUKt4AaABAg,8W94yWJHw6A,СОКЕНИ КОШПОЙ КАЛЫПСЫНАР,1,1758499200,3,0,1.0,
UgxMmGiGxfWFa4VD_cN4AaABAg,8W94yWJHw6A,"Бети жоктор,ууруну патирот кылышып Кыргыздын уулу деп,бул уурулар терелаистен да коркунучтуу,мамилекттин канын соргондор",0,1758499200,13,0,1.0,
Ugzlz9mWJ--fNEurwsp4AaABAg,8W94yWJHw6A,ННАРМАТОВА БАЗАРНАЯ БАБА ДВУЛИЧНАЯ ДУРА,0,1758499200,5,0,1.0,
