reason,video_id,text
empty,GE9a-UY4I7E,
empty,GE9a-UY4I7E,
too_short,8W94yWJHw6A,Богума жигит
too_short,8W94yWJHw6A,Матр коток
too_short,8W94yWJHw6A,Дайырчикчи
too_short,8W94yWJHw6A,Ты 💩💩💩💩💩💩🫵🫵🫵🫵🫵🫵🫵🫵👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎
too_short,8W94yWJHw6A,🤮🤮🤮🤮🤮🤮🤮🤮🤮🥵🤧🤧🤧🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮
too_short,8W94yWJHw6A,ой жетиим
too_short,8W94yWJHw6A,Матр жейт😅
too_short,8W94yWJHw6A,Койчай
too_short,8W94yWJHw6A,Ажымайна жасоо?😂😅
too_short,8W94yWJHw6A,Коту жебе
too_short,8W94yWJHw6A,😂
too_short,8W94yWJHw6A,Шакалдар
too_short,8W94yWJHw6A,Ташиев 💪💪💪💪💪💪💪💪💪💪💪💪💪💪💪💪💪💪💪💪
too_short,8W94yWJHw6A,Козуев камалсын
too_short,8W94yWJHw6A,😂😂😂😂
too_short,8W94yWJHw6A,Матраимовдор уйгурбу
too_short,8W94yWJHw6A,😊😢😊😢🎉😢❤😮😊😢😊😢
too_short,8W94yWJHw6A,Артисттер
too_short,8W94yWJHw6A,ТАШИЕВ МОЛОДЕЦ
too_short,8W94yWJHw6A,"Кет Нарматова,Зулушов"
too_short,8W94yWJHw6A,Жусуп.нооката.кокбел.айылында.мунгуш.тойуна.Шайлоону.надираны.искендерди.алярбекти.чакырыб.чай.берген.эми.ушулардын.баарын.сатты.саткын.кот.жалагыч.яжусуп
too_short,8W94yWJHw6A,Нооката.Садыр.эл.м.н.жолугшу.откоргондо.Жусуп..100пайз.каршы.турган.стадиондо.факты.бар.бузуку.саткын.Жусуп
too_short,8W94yWJHw6A,Райим.м.н.чайлашкан.Жусуп.качан.жообко.тартылат.Жусуп..1бирболду.2.ресрубиликаны..3.биримдикти..сааты..азыркы.бийлике.100пайз.каршы.турган..кот.жалагыч.Жусуп
too_short,8W94yWJHw6A,Cekc
too_short,8W94yWJHw6A,Нарматованы. Колдойбуз
too_short,8W94yWJHw6A,Шайлообек кот
too_short,8W94yWJHw6A,Оплплслм
too_short,8W94yWJHw6A,Ай тообааааа
too_short,8W94yWJHw6A,😂
too_short,8W94yWJHw6A,Саткындар баары
too_long,8W94yWJHw6A,"Башы жок Ташиев,келесоо экенсин. Бул аркалыктар оло шакал, куу чоо болушат экен. Орустун тарбиясын, куулугун алган аркалык крысалар. Азыр Садыр досунуз сизден пайдаланып, бут туштуктон чыккан кадырлар"
too_long,8W94yWJHw6A,Ассаламу алейкум. Кыргыз элим. Ээээх деп эле баштайынчы... Эгемендуулук алгандан бери (кошоматчылар-пахтачылар) жакшы байышты бул байлардын 95%зы дунуйо умуту менен рос.империясын коруп жугундуга тамш
too_long,9SK6boOSZX0,"Таджики вас не убивают, вас не просят, чтобы на таджикские земли, вы сидели там освобождаете таджикские земли, все никто, никто вас не будет трогать нишо, генерал, никто не будет трогать вас. Вы сами "
too_long,9SK6boOSZX0,Ээ. Кыргыздарым . Туура. Айтканынар. Абсамат. Масалиев. Айткан. Эле. Баткенге. ВОЕННЫЙ. БАЗА. КУРУУ. КЕРЕК. ДЕГЕН. ОРТОДОН. РАМАТЫЛЫК. УСУБАЛИЕВ. ЧЫГЫП. БАТКЕН. ОБЛАСТ. БОЛУШ. КЕРЕК. ДЕП. АЙТТЫ. БАТКЕ
too_long,9SK6boOSZX0,Ээ. Кыргыздарым. Баткен. КыргыЗ. Мектебине. ХОДЖАЕВ. Дегендердин . Аттарын. .Койуп. Алган. Сон. Тее. Союздаан. Эле. Чорный. Ходдорду. .Кыргызбайлар. Чимкирик. Чондору. Кошуналарга. Келечегине. Кыргызс
too_long,9SK6boOSZX0,"Булар Ооган согушка катышкан тажиктер окшойт ,а то солдаттары менимче туура атканды деле билишпейт окшойт,мен бир тарабынан кайгырсам бир тарабынан биздин отуп кеткен жана чек араны коргон жигиттериби"
too_long,9SK6boOSZX0,Что вы думали если вы Киргизи нападайте ми будем на вас сидит сматрит как вы убивайте людей вот вам ответ нам жаль что мирни люди погибает а вам нет вы напали на мирни люди убили детей матерей старико
too_long,9SK6boOSZX0,"Хрень какая-то, а не расследование. Как эти кадры доказывают, что первыми напали таджики? Плюс этот генерал и его 30 человек непонятно зачем показаны. Если он принимал участие в конфликте то что? Это "
too_long,9SK6boOSZX0,"Кыргызстан не ведитесь на провокации, таджикистан хочет спровоцировать войну, Кыргызстан не ведитесь на это, смутные времена приходят, нашей родине срочно надо поднимать экономику а война ведёт кризис"
too_long,9SK6boOSZX0,Дорогой народ Киргизстана! И на этот раз боевые столкновения с Таджикистаном начались по вине кыргызской стороны. Нарушая все достигнутые договоренности именно кыргызская сторона в 4 часа 30 минут утр
too_long,9SK6boOSZX0,Мы тоже не хотим с вами войны я сам живу на границе Ваще пограничники всегда начнут первыми!!! Ваще военные убили двое маленьких детей одному было 7 лет другому 6 лет и ещё не рождённого 8 месячного р
too_long,9SK6boOSZX0,Не стоить своей нос даже сторону Таджикистан 🇹🇯 поворачивать зачем было не заметно нападать на мирный жители Таджикистана !Таджикистан у нас не ка карману чтобы вы забрали его Таджикистан у нас в серд
too_long,9SK6boOSZX0,Братя киргизи мы вас уважали и с вами никогда не поступили как с врагом мы хлеб кушали друг у друга но вы уничтожили этого приграда вы напали в незаподно на селах где мирный насиления жили и даже не о
too_long,9SK6boOSZX0,"Ганд.. ты чо гонишь а, мы не начали войну вы с.ку начали, ещё хоти обвинит нас... Вы же постучили наше двери и убили наше дети и стариков, не оставляли нам выбор, мы были вынуждены оборонит наших. Что"
too_long,9SK6boOSZX0,"канга кан !!! Эмне, таш менен согушалыкпы? Элге курал бериш керек границада жашаган элдерге. качанга чейин эл коркуп жашайт? Ар бир уйго автомат бериш керек,эл озун-озу коргоп алат. Аллахым рахмондун "
